#time,id,mass,px,py,pz,vx,vy,vz
1.1725834159170762e+02,0,1.0000000000000000e+00,-1.5168687239965973e+02,4.9880139567886943e+01,-4.3193674979486445e+01,7.7746786856324301e-02,-1.9144055879299540e-02,1.6216680662631967e-02
1.1725834159170762e+02,1,1.0000000000000000e+00,1.5187513383119696e+02,-4.9950401130363616e+01,4.3246170145429318e+01,-7.7723221977997581e-02,1.9159318759134725e-02,-1.6587798826074432e-02
1.1725834159170762e+02,2,9.5435340000000004e-04,-1.4847790696546033e+02,5.3646870928710456e+01,-4.2476255548318136e+01,-3.3838819613573212e-02,-6.5745525053082475e-03,4.4932038185376688e-01
1.1725834159170762e+02,3,2.8630601999999998e-04,-1.6262681518123381e+02,6.6584310055668340e+01,-4.1765824697060204e+01,3.0489453988821025e-02,-3.1394496345301476e-02,-2.0150561510683751e-01

1.2196579530455919e+02,0,1.0000000000000000e+00,-1.5132054171603437e+02,4.9790311471127929e+01,-4.3117192052745501e+01,7.7887059380168641e-02,-1.9021788106746769e-02,1.6289206787192128e-02
1.2196579530455919e+02,1,1.0000000000000000e+00,1.5150916239358338e+02,-4.9860178941816791e+01,4.3168057372482785e+01,-7.7762749964570069e-02,1.9172323048458596e-02,-1.6599057770133620e-02
1.2196579530455919e+02,2,9.5435340000000004e-04,-1.4890198806292102e+02,5.3285192962584141e+01,-4.0483437562986772e+01,-1.4135986924733601e-01,-1.4537614505547619e-01,3.8528076486711244e-01
1.2196579530455919e+02,3,2.8630601999999998e-04,-1.6246797386367911e+02,6.6413432785490414e+01,-4.2715879517029251e+01,3.7015834460021935e-02,-4.1196211660173981e-02,-2.0203216461865720e-01

1.2649194292458115e+02,0,1.0000000000000000e+00,-1.5096777034981449e+02,4.9704448540927338e+01,-4.3043193752431606e+01,7.7987769892518669e-02,-1.8923915441365017e-02,1.6417067083098130e-02
1.2649194292458115e+02,1,1.0000000000000000e+00,1.5115711037741448e+02,-4.9773373761553536e+01,4.3092902984530610e+01,-7.7800925240193011e-02,1.9184889772286214e-02,-1.6609937871960165e-02
1.2649194292458115e+02,2,9.5435340000000004e-04,-1.4971032781703281e+02,5.2360180557708006e+01,-3.8997706382329937e+01,-2.0880053952290806e-01,-2.5828767305138967e-01,2.6268621028092098e-01
1.2649194292458115e+02,3,2.8630601999999998e-04,-1.6228602958699278e+02,6.6205748263050396e+01,-4.3630372916343987e+01,4.3397105271933412e-02,-5.0563421498343641e-02,-2.0196812156654897e-01

1.3146825313268820e+02,0,1.0000000000000000e+00,-1.5057950694617102e+02,4.9610459822323861e+01,-4.2961053504136601e+01,7.8047404692382846e-02,-1.8859529168029826e-02,1.6600448152163719e-02
1.3146825313268820e+02,1,1.0000000000000000e+00,1.5076984400883816e+02,-4.9677869272772512e+01,4.3010216889022658e+01,-7.7843090787788630e-02,1.9198778556964058e-02,-1.6621962596310148e-02
1.3146825313268820e+02,2,9.5435340000000004e-04,-1.5082513844744528e+02,5.0855028989064614e+01,-3.8124684555995643e+01,-2.2924030516506072e-01,-3.3724494167010810e-01,8.2919327104543861e-02
1.3146825313268820e+02,3,2.8630601999999998e-04,-1.6205240457154119e+02,6.5928689259881267e+01,-4.4633928955043331e+01,5.0513642909602696e-02,-6.0769005900818740e-02,-2.0125283290036627e-01

1.3623518027116543e+02,0,1.0000000000000000e+00,-1.5020743174810988e+02,4.9520595444145201e+01,-4.2881471373578037e+01,7.8051049812416534e-02,-1.8853397494371982e-02,1.6788041019215799e-02
1.3623518027116543e+02,1,1.0000000000000000e+00,1.5039867501390063e+02,-4.9586318241185808e+01,4.2930953626472750e+01,-7.7883673578121343e-02,1.9212154456366259e-02,-1.6633543272572313e-02
1.3623518027116543e+02,2,9.5435340000000004e-04,-1.5185184682130671e+02,4.9181527946378893e+01,-3.8171864612213874e+01,-1.9260488083057067e-01,-3.5478863947162104e-01,-1.0190645143489122e-01
1.3623518027116543e+02,3,2.8630601999999998e-04,-1.6179519899890215e+02,6.5615939992329359e+01,-4.5590393515492053e+01,5.7410209474894475e-02,-7.0425405771842586e-02,-1.9993634166190208e-01

1.4094706951756916e+02,0,1.0000000000000000e+00,-1.4983974672788597e+02,4.9431662781761084e+01,-4.2801964504880225e+01,7.8009320155283196e-02,-1.8903879864300220e-02,1.6953537378659594e-02
1.4094706951756916e+02,1,1.0000000000000000e+00,1.5003160089874928e+02,-4.9495761411993200e+01,4.2852551126480215e+01,-7.7923973257750023e-02,1.9225445256509710e-02,-1.6645050269328332e-02
1.4094706951756916e+02,2,9.5435340000000004e-04,-1.5257797762816563e+02,4.7585892280582271e+01,-3.9047707652564490e+01,-1.0871439471756528e-01,-3.1299742312829598e-01,-2.6383256092751484e-01
1.4094706951756916e+02,3,2.8630601999999998e-04,-1.6150851158747457e+02,6.5261890553607131e+01,-4.6528218440918423e+01,6.4284553620175294e-02,-7.9828001018090400e-02,-1.9803149014927188e-01

